fare_id,price,currency_type,payment_method,transfers
70-75,7.45,CAD,1,
74-70,6.80,CAD,1,
70-74,6.80,CAD,1,
73-70,5.30,CAD,1,
70-73,5.30,CAD,1,
72-70,5.30,CAD,1,
70-72,5.30,CAD,1,
71-70,5.30,CAD,1,
70-71,5.30,CAD,1,
70-70,5.30,CAD,1,
1084-69,31.50,CAD,1,
69-1084,31.50,CAD,1,
1083-69,29.50,CAD,1,
69-1083,29.50,CAD,1,
97-69,21.40,CAD,1,
69-97,21.40,CAD,1,
96-69,20.50,CAD,1,
69-96,20.50,CAD,1,
95-69,20.00,CAD,1,
69-95,20.00,CAD,1,
94-69,19.45,CAD,1,
69-94,19.45,CAD,1,
93-69,18.75,CAD,1,
69-93,18.75,CAD,1,
92-69,18.05,CAD,1,
69-92,18.05,CAD,1,
91-69,17.40,CAD,1,
69-91,17.40,CAD,1,
90-69,15.35,CAD,1,
69-90,15.35,CAD,1,
89-69,15.30,CAD,1,
69-89,15.30,CAD,1,
88-69,18.45,CAD,1,
69-88,18.45,CAD,1,
87-69,17.05,CAD,1,
69-87,17.05,CAD,1,
86-69,16.40,CAD,1,
69-86,16.40,CAD,1,
85-69,26.25,CAD,1,
69-85,26.25,CAD,1,
84-69,28.50,CAD,1,
69-84,28.50,CAD,1,
83-69,26.50,CAD,1,
69-83,26.50,CAD,1,
82-69,24.25,CAD,1,
69-82,24.25,CAD,1,
81-69,23.60,CAD,1,
69-81,23.60,CAD,1,
80-69,22.30,CAD,1,
69-80,22.30,CAD,1,
77-69,14.20,CAD,1,
69-77,14.20,CAD,1,
76-69,21.85,CAD,1,
69-76,21.85,CAD,1,
75-69,21.20,CAD,1,
69-75,21.20,CAD,1,
74-69,20.30,CAD,1,
69-74,20.30,CAD,1,
73-69,19.40,CAD,1,
69-73,19.40,CAD,1,
72-69,18.90,CAD,1,
69-72,18.90,CAD,1,
71-69,18.75,CAD,1,
69-71,18.75,CAD,1,
70-69,18.55,CAD,1,
69-70,18.55,CAD,1,
69-69,5.30,CAD,1,
1084-68,30.90,CAD,1,
68-1084,30.90,CAD,1,
1083-68,28.95,CAD,1,
68-1083,28.95,CAD,1,
97-68,20.90,CAD,1,
68-97,20.90,CAD,1,
96-68,20.00,CAD,1,
68-96,20.00,CAD,1,
95-68,19.45,CAD,1,
68-95,19.45,CAD,1,
94-68,18.95,CAD,1,
68-94,18.95,CAD,1,
93-68,18.25,CAD,1,
68-93,18.25,CAD,1,
92-68,17.50,CAD,1,
68-92,17.50,CAD,1,
91-68,16.90,CAD,1,
68-91,16.90,CAD,1,
90-68,15.10,CAD,1,
68-90,15.10,CAD,1,
89-68,14.75,CAD,1,
68-89,14.75,CAD,1,
88-68,17.85,CAD,1,
68-88,17.85,CAD,1,
87-68,16.45,CAD,1,
68-87,16.45,CAD,1,
86-68,15.80,CAD,1,
68-86,15.80,CAD,1,
85-68,25.75,CAD,1,
68-85,25.75,CAD,1,
84-68,27.90,CAD,1,
68-84,27.90,CAD,1,
83-68,25.95,CAD,1,
68-83,25.95,CAD,1,
82-68,23.70,CAD,1,
68-82,23.70,CAD,1,
81-68,23.00,CAD,1,
68-81,23.00,CAD,1,
80-68,21.80,CAD,1,
68-80,21.80,CAD,1,
77-68,13.65,CAD,1,
68-77,13.65,CAD,1,
76-68,21.30,CAD,1,
68-76,21.30,CAD,1,
75-68,20.70,CAD,1,
68-75,20.70,CAD,1,
74-68,19.80,CAD,1,
68-74,19.80,CAD,1,
73-68,18.90,CAD,1,
68-73,18.90,CAD,1,
72-68,18.40,CAD,1,
68-72,18.40,CAD,1,
71-68,18.25,CAD,1,
68-71,18.25,CAD,1,
70-68,18.05,CAD,1,
68-70,18.05,CAD,1,
69-68,5.30,CAD,1,
68-69,5.30,CAD,1,
68-68,5.30,CAD,1,
1084-67,30.05,CAD,1,
67-1084,30.05,CAD,1,
1083-67,28.10,CAD,1,
